Subdistrict;Month;PopDensity;Rainfall;RainfallLag1;RainfallLag2;RainfallLag3;TempAvg;HumRev;WindSpeed;AtmPress;BuiltArea;Crops;Water;Trees;FloodedVegetation;DengueIncidence
Bantul;Jan-17;2868;300,59;237,3;279,49;305,86;25,97;87,19;3,14;99,07;1336,14;840,45;0,00;2,94;0,00;12
Bantul;Feb-17;2870;374,41;300,59;237,3;279,49;25,84;87,06;3,42;99,16;1347,24;828,54;0,00;2,98;0,00;4
Bantul;Mar-17;2871;174,02;374,41;300,59;237,3;26,33;85,12;2,70;99,17;1357,38;817,93;0,00;3,00;0,00;6
Bantul;Apr-17;2873;210,94;174,02;374,41;300,59;26,35;84,88;2,71;99,20;1366,55;808,52;0,00;3,01;0,00;3
Bantul;May-17;2874;116,02;210,94;174,02;374,41;25,90;85,88;4,06;99,23;1374,81;800,22;0,00;3,00;0,00;4
Bantul;Jun-17;2876;116,02;116,02;210,94;174,02;25,42;86,44;3,93;99,29;1382,17;792,95;0,00;2,97;0,00;1
Bantul;Jul-17;2878;15,82;116,02;116,02;210,94;24,37;85,31;4,47;99,38;1388,68;786,63;0,00;2,94;0,00;5
Bantul;Aug-17;2879;0;15,82;116,02;116,02;24,76;78,56;4,81;99,34;1394,35;781,21;0,00;2,89;0,00;1
Bantul;Sep-17;2881;79,1;0;15,82;116,02;25,91;75,19;4,50;99,33;1399,24;776,60;0,00;2,84;0,00;0
Bantul;Oct-17;2883;263,67;79,1;0;15,82;25,95;83,25;4,02;99,21;1403,39;772,76;0,00;2,77;0,00;3
Bantul;Nov-17;2885;290,04;263,67;79,1;0;26,11;85,81;2,87;98,99;1406,82;769,62;0,00;2,71;0,00;0
Bantul;Dec-17;2887;232,03;290,04;263,67;79,1;25,98;86,62;3,34;99,09;1409,60;767,12;0,00;2,63;0,00;0
Bantul;Jan-18;2889;284,77;232,03;290,04;263,67;25,92;87,44;3,95;98,94;1411,75;765,22;0,00;2,56;0,00;0
Bantul;Feb-18;2891;495,7;284,77;232,03;290,04;25,77;87,19;3,14;99,17;1413,34;763,86;0,00;2,48;0,00;0
Bantul;Mar-18;2893;232,03;495,7;284,77;232,03;26,30;84,75;2,36;99,10;1414,42;762,96;0,00;2,41;0,00;1
Bantul;Apr-18;2895;189,84;232,03;495,7;284,77;26,80;85,00;3,17;99,12;1415,08;762,46;0,00;2,34;0,00;1
Bantul;May-18;2897;10,55;189,84;232,03;495,7;25,91;84,50;4,16;99,22;1415,38;762,27;0,00;2,28;0,00;0
Bantul;Jun-18;2900;52,73;10,55;189,84;232,03;25,27;83,12;4,17;99,33;1415,39;762,33;0,00;2,23;0,00;0
Bantul;Jul-18;2902;0;52,73;10,55;189,84;24,06;80,50;4,34;99,33;1415,19;762,55;0,00;2,19;0,00;2
Bantul;Aug-18;2904;0;0;52,73;10,55;24,79;73,25;4,77;99,39;1414,86;762,88;0,00;2,17;0,00;0
Bantul;Sep-18;2907;5,27;0;0;52,73;26,08;71,25;4,74;99,36;1414,46;763,23;0,00;2,17;0,00;0
Bantul;Oct-18;2909;47,46;5,27;0;0;26,80;72,69;4,52;99,32;1414,07;763,53;0,00;2,19;0,00;2
Bantul;Nov-18;2912;221,48;47,46;5,27;0;26,50;82,25;3,59;99,22;1413,77;763,71;0,00;2,24;0,00;3
Bantul;Dec-18;2914;358,59;221,48;47,46;5,27;26,08;85,81;3,45;99,14;1413,61;763,69;0,00;2,31;0,00;1
Bantul;Jan-19;2923;416,6;358,59;221,48;47,46;26,57;86,00;3,12;99,15;1413,69;763,41;0,00;2,42;0,00;7
Bantul;Feb-19;2925;305,86;416,6;358,59;221,48;26,63;85,19;2,50;99,28;1414,05;762,81;0,00;2,57;0,00;8
Bantul;Mar-19;2927;226,76;305,86;416,6;358,59;26,15;86,56;2,64;99,22;1414,65;761,92;0,00;2,75;0,00;13
Bantul;Apr-19;2929;242,58;226,76;305,86;416,6;26,82;85,56;3,22;99,14;1415,47;760,81;0,00;2,98;0,00;17
Bantul;May-19;2931;63,28;242,58;226,76;305,86;25,86;85,31;4,29;99,28;1416,43;759,54;0,00;3,23;0,00;19
Bantul;Jun-19;2933;0;63,28;242,58;226,76;24,43;84,06;4,09;99,32;1417,50;758,18;0,00;3,50;0,00;16
Bantul;Jul-19;2934;0;0;63,28;242,58;24,31;79,56;4,58;99,39;1418,62;756,77;0,00;3,79;0,00;11
Bantul;Aug-19;2935;0;0;0;63,28;24,76;73,88;4,81;99,42;1419,74;755,38;0,00;4,08;0,00;6
Bantul;Sep-19;2936;21,09;0;0;0;25,52;71,69;4,99;99,46;1420,83;754,06;0,00;4,37;0,00;9
Bantul;Oct-19;2936;5,27;21,09;0;0;26,80;71,44;4,25;99,27;1421,81;752,89;0,00;4,63;0,00;4
Bantul;Nov-19;2937;36,91;5,27;21,09;0;27,62;71,81;3,92;99,21;1422,65;751,90;0,00;4,85;0,00;8
Bantul;Dec-19;2937;316,41;36,91;5,27;21,09;27,46;80,94;2,16;99,12;1423,30;751,17;0,00;5,00;0,00;18
Bantul;Jan-20;2926;305,86;316,41;36,91;5,27;26,86;84,69;2,87;99,14;1423,70;750,75;0,00;5,08;0,00;19
Bantul;Feb-20;2926;353,32;305,86;316,41;36,91;26,72;86,19;2,62;99,21;1423,83;750,67;0,00;5,06;0,00;21
Bantul;Mar-20;2926;326,95;353,32;305,86;316,41;26,92;86,62;2,53;99,14;1423,72;750,89;0,00;4,97;0,00;29
Bantul;Apr-20;2927;237,3;326,95;353,32;305,86;27,22;84,56;2,77;99,17;1423,46;751,31;0,00;4,81;0,00;26
Bantul;May-20;2928;353,32;237,3;326,95;353,32;26,77;86,75;3,62;99,16;1423,10;751,87;0,00;4,60;0,00;20
Bantul;Jun-20;2930;100,2;353,32;237,3;326,95;25,78;85,56;4,34;99,22;1422,71;752,47;0,00;4,37;0,00;8
Bantul;Jul-20;2931;68,55;100,2;353,32;237,3;24,72;84,88;4,48;99,21;1422,36;753,05;0,00;4,13;0,00;7
Bantul;Aug-20;2933;47,46;68,55;100,2;353,32;25,04;82,25;4,46;99,25;1422,12;753,53;0,00;3,89;0,00;2
Bantul;Sep-20;2935;94,92;47,46;68,55;100,2;25,96;78,88;4,56;99,25;1422,05;753,81;0,00;3,68;0,00;1
Bantul;Oct-20;2938;258,4;94,92;47,46;68,55;26,15;82,69;4,26;99,14;1422,23;753,84;0,00;3,49;0,00;2
Bantul;Nov-20;2940;253,12;258,4;94,92;47,46;26,56;85,81;3,41;99,12;1422,71;753,51;0,00;3,33;0,00;4
Bantul;Dec-20;2943;442,97;253,12;258,4;94,92;25,79;86,94;3,13;99,01;1423,56;752,77;0,00;3,21;0,00;1
Bantul;Jan-21;;;;;;;;;;;;;;;
Bantul;Feb-21;;;;;;;;;;;;;;;
Bantul;Mar-21;;;;;;;;;;;;;;;
Bantul;Apr-21;;;;;;;;;;;;;;;
Bantul;May-21;;;;;;;;;;;;;;;
Bantul;Jun-21;;;;;;;;;;;;;;;
Bantul;Jul-21;;;;;;;;;;;;;;;
Bantul;Aug-21;;;;;;;;;;;;;;;
Bantul;Sep-21;;;;;;;;;;;;;;;
Bantul;Oct-21;;;;;;;;;;;;;;;
Bantul;Nov-21;;;;;;;;;;;;;;;
Bantul;Dec-21;;;;;;;;;;;;;;;
Bantul;Jan-22;;;;;;;;;;;;;;;
Bantul;Feb-22;;;;;;;;;;;;;;;
Bantul;Mar-22;;;;;;;;;;;;;;;
Bantul;Apr-22;;;;;;;;;;;;;;;
Bantul;May-22;;;;;;;;;;;;;;;
Bantul;Jun-22;;;;;;;;;;;;;;;
Bantul;Jul-22;;;;;;;;;;;;;;;
Bantul;Aug-22;;;;;;;;;;;;;;;
Bantul;Sep-22;;;;;;;;;;;;;;;
Bantul;Oct-22;;;;;;;;;;;;;;;
Bantul;Nov-22;;;;;;;;;;;;;;;
Bantul;Dec-22;;;;;;;;;;;;;;;
Sewon;Jan-17;4030;300,59;237,3;279,49;305,86;25,97;87,19;3,14;99,07;1976,36;798,02;4,03;6,21;0,00;31
Sewon;Feb-17;4087;374,41;300,59;237,3;279,49;25,84;87,06;3,42;99,16;1976,64;798,69;4,74;5,26;0,00;17
Sewon;Mar-17;4140;174,02;374,41;300,59;237,3;26,33;85,12;2,70;99,17;1977,54;798,63;5,35;4,53;0,00;16
Sewon;Apr-17;4189;210,94;174,02;374,41;300,59;26,35;84,88;2,71;99,20;1979,02;797,90;5,84;3,95;0,00;3
Sewon;May-17;4232;116,02;210,94;174,02;374,41;25,90;85,88;4,06;99,23;1981,04;796,54;6,17;3,50;0,00;8
Sewon;Jun-17;4270;116,02;116,02;210,94;174,02;25,42;86,44;3,93;99,29;1983,54;794,61;6,34;3,14;0,00;5
Sewon;Jul-17;4304;15,82;116,02;116,02;210,94;24,37;85,31;4,47;99,38;1986,50;792,16;6,34;2,86;0,00;1
Sewon;Aug-17;4333;0;15,82;116,02;116,02;24,76;78,56;4,81;99,34;1989,86;789,24;6,19;2,64;0,00;3
